SNO,CATEGORY,DESCRIPTION,ORM SYNTAX,FUNCTIONALITY
1,Managers and Queryset ,To get all rows in a table using ORM ,queryset = <TableName>.object.all(),You can iterate or use the list function to display all the data | You can also index the list to display a single or range of rows of data. 
2,Managers and Queryset ,To filter results from table ,queryset.filter(),"You could chain the filter method with another filter so you could filter from the results you got earlier. It will help in consecutive filtering, like, table of countries, filter 1 country and now, filter its states "
3,Managers and Queryset ,Using Order By in Django ORM,queryset.orderby(),You could order your results using the orderby 
4,Managers and Queryset ,Getting the count,queryset = <TableName>.object.count(),gets the count in a single row. Note that the returned value is just a single number. Hence further listing is not needed. 
5,Retriving Objects,To get a single row,queryset = <TableName>.object.get(),You could pass a look up parameter like id so it would come quick from the system. Here you could also use PK= which is primary key in the system. If Object is not found you would get an exception. Use the ObjectDoesNotExist Exception to solve this issue. 
6,Retriving Objects,To get a single row based on a condition,product = <TableName>.objects.filter(pk=0).first(),Does the same thing but no need for adding exception class for this 
7,Retriving Objects,Failsafe method to get a single row ,product = <TableName>.objects.filter(pk=0).exists(),This also checks if the object or row is present and then proceed with querying the data. These are the three major retrival functions 
8,Filtering Objects,To find object greater than a number ,queryset = <TableName>.object.filter(column_name__gt=20),Note that gt means its greater than. And it comes with an equal. Also note that the double underscore is a mandatory field. Without it the code wont work. Goto https://docs.djangoproject.com/en/4.0/ref/models/querysets/#field-lookups for more field lookups like this
9,Filtering Objects,To find objects within a range ,"query_set=<TableName>.objects.filter(column_name__range(x,y))",Helps in getting objects within a range 
10,Filtering Objects,To filter objects within a object attribute,"query_set=<TableName>.objects.filter(collection_id__range=(1,2,3))","Will find products in the product table with the collection id 1,2 and 3"
11,Filtering Objects,To filter an object with a column value or a string ,query_set = <TableName>.objects.filter(title__icontains='coffee'),"Remember, contains will bring out values and it would be case sensitive. If you need a case insensitive search use icontains instead of contains"
12,Filtering Objects,To filter an object which starts with a certain string ,query_set = <TableName>.objects.filter(title__startswith='coffee'),There is also ends with or has etc. Checkout the django documentation for varied ORM functions to make this happen 
13,Filtering Objects,Using Date Time to find rows or objects,query_set = <TableName>.objects.filter(title__last_update__year=2022),you could also use date and other options 
14,Filtering Objects,To Filter data which has null values ,query_set = <TableName>.objects.filter(description__isnull=True),This would help you to find the rows with Null value 
15,Complex Queries,Quering data with more than 1 conditions ,"query_set = <TableName>.objects.filter(column_1__<coditions such as lt or gt>=<numerical or string value>,column_2__<coditions such as lt or gt>=<numerical or string value> )",Filters values based on 2 conditions at a single shot 
16,Complex Queries,use Chain filtering to simplify the complex queries ,# query_set = <TableName>.objects.filter(olumn_1__<coditions such as lt or gt>=<numerical or string value>).filter(column_2__<coditions such as lt or gt>=<numerical or string value>)),Filters values based on 2 conditions but consequently 
